Municipal,County,Cases,Date
barnegat light,ocean county,2,may-9-2020
bay head,ocean county,6,may-9-2020
beach haven,ocean county,7,may-9-2020
beachwood,ocean county,92,may-9-2020
berkeley township,ocean county,492,may-9-2020
brick township,ocean county,943,may-9-2020
eagleswood township,ocean county,6,may-9-2020
island heights,ocean county,9,may-9-2020
jackson township,ocean county,707,may-9-2020
lacey township,ocean county,183,may-9-2020
lakehurst,ocean county,27,may-9-2020
lakewood township,ocean county,1971,may-9-2020
lavallette,ocean county,8,may-9-2020
little egg harbor township,ocean county,106,may-9-2020
long beach township,ocean county,20,may-9-2020
manchester township,ocean county,560,may-9-2020
ocean gate,ocean county,13,may-9-2020
ocean township,ocean county,40,may-9-2020
pine beach,ocean county,9,may-9-2020
plumsted township,ocean county,44,may-9-2020
point pleasant beach,ocean county,30,may-9-2020
point pleasant,ocean county,185,may-9-2020
seaside heights,ocean county,29,may-9-2020
seaside park,ocean county,5,may-9-2020
ship bottom,ocean county,6,may-9-2020
south toms river,ocean county,71,may-9-2020
stafford township,ocean county,193,may-9-2020
surf city,ocean county,4,may-9-2020
toms river,ocean county,1261,may-9-2020
tuckerton,ocean county,21,may-9-2020
bloomingdale,passaic county,175,may-9-2020
clifton,passaic county,2516,may-9-2020
haledon,passaic county,276,may-9-2020
hawthorne,passaic county,390,may-9-2020
little falls,passaic county,138,may-9-2020
north haledon,passaic county,165,may-9-2020
passaic,passaic county,2743,may-9-2020
paterson,passaic county,6132,may-9-2020
pompton lakes,passaic county,203,may-9-2020
prospect park,passaic county,285,may-9-2020
ringwood,passaic county,112,may-9-2020
totowa,passaic county,261,may-9-2020
wanaque,passaic county,258,may-9-2020
wayne,passaic county,1172,may-9-2020
west milford,passaic county,354,may-9-2020
woodland park,passaic county,329,may-9-2020
alloway township,salem county,8,may-9-2020
carneys point township,salem county,91,may-9-2020
elmer,salem county,6,may-9-2020
lower alloways creek township,salem county,4,may-9-2020
,salem county,-1,may-9-2020
mannington township,salem county,6,may-9-2020
oldmans township,salem county,8,may-9-2020
quinton township,salem county,2,may-9-2020
penns grove,salem county,88,may-9-2020
pennsville township,salem county,28,may-9-2020
pittsgrove township,salem county,20,may-9-2020
pilesgrove township,salem county,11,may-9-2020
salem,salem county,21,may-9-2020
upper pittsgrove township,salem county,62,may-9-2020
woodstown,salem county,21,may-9-2020
bedminster,somerset county,34,may-9-2020
bernards township,somerset county,216,may-9-2020
bernardsville,somerset county,59,may-9-2020
bound brook,somerset county,258,may-9-2020
branchburg,somerset county,73,may-9-2020
bridgewater township,somerset county,414,may-9-2020
far hills,somerset county,3,may-9-2020
franklin township,somerset county,1075,may-9-2020
green brook township,somerset county,127,may-9-2020
hillsborough township,somerset county,268,may-9-2020
manville,somerset county,117,may-9-2020
millstone,somerset county,2,may-9-2020
montgomery,somerset county,93,may-9-2020
north plainfield,somerset county,277,may-9-2020
peapack and gladstone,somerset county,38,may-9-2020
raritan,somerset county,85,may-9-2020
rocky hill,somerset county,5,may-9-2020
somerville,somerset county,107,may-9-2020
south bound brook,somerset county,55,may-9-2020
warren township,somerset county,104,may-9-2020
